confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,highDangerCount,midDangerCount,suspectedCount,suspectedCountIncr
24726,3613,0,0,24242,3542,20200308,484,71,0,0,0,0
28672,3946,0,0,27986,3744,20200309,686,202,0,0,0,0
32776,4104,0,0,31904,3918,20200310,872,186,0,0,0,0
37362,4586,0,0,36232,4328,20200311,1130,258,0,0,0,0
44277,6915,0,0,42837,6605,20200312,1440,310,0,0,0,0
51763,7486,0,0,49988,7151,20200313,1775,335,0,0,0,0
61862,10099,0,0,59657,9669,20200314,2205,430,0,0,0,0
73428,11566,9019,9019,61863,2206,20200315,2546,341,0,0,0,0
87995,14567,10181,1162,74405,12542,20200316,3409,863,0,0,0,0
100297,12302,11945,1764,83990,9585,20200317,4362,953,0,0,0,0
114160,13863,13324,1379,96060,12070,20200318,4776,414,0,0,0,0
161336,47176,16659,3335,138017,41957,20200319,6660,1884,0,0,0,0
189913,28577,19436,2777,162485,24468,20200320,7992,1332,0,0,0,0
222109,32196,22683,3247,189785,27300,20200321,9641,1649,0,0,0,0
253094,30985,24605,1922,217239,27454,20200322,11250,1609,0,0,0,0
291611,38517,27223,2618,251400,34161,20200323,12988,1738,0,0,0,0
335966,44355,34244,7021,286292,34892,20200324,15430,2442,0,0,0,0
380594,44628,39134,4890,323896,37604,20200325,17564,2134,0,0,0,0
444231,63637,47032,7898,376910,53014,20200326,20289,2725,0,0,0,0
498468,54237,49865,2833,425186,48276,20200327,23417,3128,0,0,0,0
567960,69492,63982,14117,477122,51936,20200328,26856,3439,0,0,0,0
630574,62614,70692,6710,529636,52514,20200329,30246,3390,0,0,0,0
682397,51823,80262,9570,568656,39020,20200330,33479,3233,0,0,0,0
760346,77949,90728,10466,631479,62823,20200331,38139,4660,0,0,0,0
835892,75546,106140,15412,686949,55470,20200401,42803,4664,0,0,0,0
913485,77593,116976,10836,748563,61614,20200402,47946,5143,0,0,0,0
1000734,87249,130098,13122,816741,68178,20200403,53895,5949,0,0,0,0
1079699,78965,148303,18205,870760,54019,20200404,60636,6741,0,0,0,0
1155091,75392,161091,12788,928750,57990,20200405,65250,4614,0,0,0,0
1222299,67208,167490,6399,985357,56607,20200406,69452,4202,0,0,0,0
1300989,78690,187837,20347,1035296,49939,20200407,77856,8404,0,0,0,0
1381160,80171,240563,52726,1057239,21943,20200408,83358,5502,0,0,0,0
1471674,90514,262077,21514,1118119,60880,20200409,91478,8120,0,0,0,0
1558596,86922,283071,20994,1178006,59887,20200410,97519,6041,0,0,0,0
1640754,82158,309410,26339,1226718,48712,20200411,104626,7107,0,0,0,0
1711566,70812,324209,14799,1277763,51045,20200412,109594,4968,0,0,0,0
1790176,78610,349929,25720,1324489,46726,20200413,115758,6164,0,0,0,0
1855317,65141,375087,25158,1358038,33549,20200414,122192,6434,0,0,0,0
1935180,79863,412205,37118,1392930,34892,20200415,130045,7853,0,0,0,0
2017137,81957,438608,26403,1438931,46001,20200416,139598,9553,0,0,0,0
2103535,86398,469609,31001,1485751,46820,20200417,148175,8577,0,0,0,0
2189560,86025,498019,28410,1536845,51094,20200418,154696,6521,0,0,0,0
2262047,72487,518292,20273,1583815,46970,20200419,159940,5244,0,0,0,0
2338824,76777,553841,35549,1620349,36534,20200420,164634,4694,0,0,0,0
2428834,90010,579139,25298,1677785,57436,20200421,171910,7276,0,0,0,0
2491222,62388,615779,36640,1697685,19900,20200422,177758,5848,0,0,0,0
2580363,89141,642848,27069,1752170,54485,20200423,185345,7587,0,0,0,0
2656588,76225,685768,42920,1779835,27665,20200424,190985,5640,0,0,0,0
2764125,107537,713891,28123,1852918,73083,20200425,197316,6331,0,0,0,0
2820384,56259,741826,27935,1877306,24388,20200426,201252,3936,0,0,0,0
